🔸央视,#genre#
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://111.48.34.237/PLTV/88888888/224/3221229893/1.m3u8
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17农村农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV8K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K36M/playlist.m3u8
CCTV第一剧场,http://111.48.34.237/PLTV/88888888/224/3221230488/1.m3u8
CCTV怀旧剧场,http://111.48.34.237/PLTV/88888888/224/3221230091/1.m3u8
CCTV兵器科技,http://111.48.34.237/PLTV/88888888/224/3221230162/1.m3u8
CCTV央视精品,http://www.lizhinas.top:8688/udp/239.252.219.81:5140
CCTV世界地理,http://111.48.34.237/PLTV/88888888/224/3221230072/1.m3u8
CCTV女性时尚,http://111.48.34.237/PLTV/88888888/224/3221230545/1.m3u8
CCTV风云剧场,http://www.lizhinas.top:8688/udp/239.252.219.89:5140
CCTV风云音乐,http://111.48.34.237/PLTV/88888888/224/3221230089/1.m3u8
CCTV风云足球,http://111.48.34.237/PLTV/88888888/224/3221230482/1.m3u8
CCTV高尔夫网球,http://111.48.34.237/PLTV/88888888/224/3221230085/1.m3u8
CCTV央视台球,http://111.48.34.237/PLTV/88888888/224/3221230173/1.m3u8
CCTV电视指南,http://111.48.34.237/PLTV/88888888/224/3221230078/1.m3u8
CCTV卫生健康,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024165203.m3u8
CCTV老故事,http://111.48.34.237/PLTV/88888888/224/3221230087/1.m3u8
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV3,http://ikuai.zlsip.top:4022/rtp/239.3.1.55:4120
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
早期教育,http://120.234.49.38:7000/udp/239.21.0.106:3764
CGTN西语,http://www.lizhinas.top:8688/udp/239.252.219.196:5140#http://111.199.234.14:18888/rtp/239.3.1.217:4220
CGTN法语,http://www.lizhinas.top:8688/udp/239.252.219.65:5140#http://111.199.234.14:18888/rtp/239.3.1.218:4220
CGTN俄语,http://www.lizhinas.top:8688/udp/239.252.219.67:5140#http://111.199.234.14:18888/rtp/239.3.1.220:4220
CGTN阿语,http://www.lizhinas.top:8688/udp/239.252.219.66:5140#http://111.199.234.14:18888/rtp/239.3.1.219:4220


🔸卫视,#genre#
凤凰中文台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx#http://e2.woc.iiiya.cn:8888/rtp/239.61.2.183:9086
凤凰香港台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰电影台,http://117.114.153.26:8180/TV00000000000000000072@HHZT
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0#http://wouu.net:9977/udp/239.93.0.156:2193
澳亚卫视,http://117.114.153.26:8180/TV00000000000000000082@HHZT#https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
大湾区卫视,http://110.178.52.111:8082/udp/239.1.1.69:8069
嘉佳卡通,http://110.178.52.111:8082/udp/239.1.1.68:8068
厦门卫视,http://111.48.34.237/PLTV/88888888/224/3221230498/1.m3u8
海峡卫视,http://36.248.137.69:60033/tsfile/live/0150_1.m3u8?key=txiptv
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
三沙卫视,http://111.48.34.237/PLTV/88888888/224/3221230410/1.m3u8#https://live3.hnntv.cn/srs/tv/ssws.m3u8#http://qnap.yjnhome.com:4000/udp/239.3.1.155:4120
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
