🔸沈阳联通组播,#genre#
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.27:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.121:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.200:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.217:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.218:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.219:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.220:1234
CCTV1,http://home.ofme.cn:8888/udp/232.0.0.253:1234
CCTV2,http://home.ofme.cn:8888/udp/232.0.0.135:1234
CCTV2,http://home.ofme.cn:8888/udp/232.0.0.254:1234
CCTV3,http://home.ofme.cn:8888/udp/232.0.0.170:1234
CCTV4,http://home.ofme.cn:8888/udp/232.0.0.155:1234
CCTV4,http://home.ofme.cn:8888/udp/232.0.0.201:1234
CCTV5,http://home.ofme.cn:8888/udp/232.0.0.171:1234
CCTV5+,http://home.ofme.cn:8888/udp/232.0.0.93:1234
CCTV6,http://home.ofme.cn:8888/udp/232.0.0.172:1234
CCTV9,http://home.ofme.cn:8888/udp/232.0.0.137:1234
CCTV7,http://home.ofme.cn:8888/udp/232.0.0.136:1234
CCTV8,http://home.ofme.cn:8888/udp/232.0.0.173:1234
CCTV10,http://home.ofme.cn:8888/udp/232.0.0.138:1234
CCTV11,http://home.ofme.cn:8888/udp/232.0.0.178:1234
CCTV12,http://home.ofme.cn:8888/udp/232.0.0.139:1234
CCTV13,http://home.ofme.cn:8888/udp/232.0.0.15:1234
CCTV14,http://home.ofme.cn:8888/udp/232.0.0.140:1234
CCTV15,http://home.ofme.cn:8888/udp/232.0.0.179:1234
CCTV16,http://home.ofme.cn:8888/udp/232.0.0.182:1234
CCTV17,http://home.ofme.cn:8888/udp/232.0.0.230:1234
欢笑剧场-4K,http://home.ofme.cn:8888/udp/232.0.0.98:1234
电影测试-4K,http://home.ofme.cn:8888/udp/232.0.0.187:1234
CGTN-西班牙语,http://home.ofme.cn:8888/udp/232.0.0.6:1234
CGTN-法语,http://home.ofme.cn:8888/udp/232.0.0.8:1234
CGTN-俄语,http://home.ofme.cn:8888/udp/232.0.0.28:1234
CGTN-阿拉伯语,http://home.ofme.cn:8888/udp/232.0.0.43:1234
CGTN-英语,http://home.ofme.cn:8888/udp/232.0.0.188:1234
CGTN纪录,http://home.ofme.cn:8888/udp/232.0.0.198:1234
CCTV4-欧洲,http://home.ofme.cn:8888/udp/232.0.0.53:1234
CCTV4-美洲,http://home.ofme.cn:8888/udp/232.0.0.59:1234
都市剧场,http://home.ofme.cn:8888/udp/232.0.0.149:1234
CCTV-第一剧场,http://home.ofme.cn:8888/udp/232.0.0.29:1234
CCTV-怀旧剧场,http://home.ofme.cn:8888/udp/232.0.0.38:1234
CCTV-风云剧场,http://home.ofme.cn:8888/udp/232.0.0.45:1234
CCTV-风云音乐,http://home.ofme.cn:8888/udp/232.0.0.47:1234
CCTV-女性时尚,http://home.ofme.cn:8888/udp/232.0.0.51:1234
CCTV-风云足球,http://home.ofme.cn:8888/udp/232.0.0.52:1234
CCTV-央视精品,http://home.ofme.cn:8888/udp/232.0.0.56:1234
CCTV-兵器科技,http://home.ofme.cn:8888/udp/232.0.0.58:1234
CCTV-央视台球,http://home.ofme.cn:8888/udp/232.0.0.60:1234
CCTV-世界地理,http://home.ofme.cn:8888/udp/232.0.0.63:1234
CCTV-电视指南,http://home.ofme.cn:8888/udp/232.0.0.91:1234
辽宁卫视,http://home.ofme.cn:8888/udp/232.0.0.126:1234
辽宁影视,http://home.ofme.cn:8888/udp/232.0.0.25:1234
辽宁购物,http://home.ofme.cn:8888/udp/232.0.0.30:1234
辽宁生活,http://home.ofme.cn:8888/udp/232.0.0.150:1234
辽宁北方,http://home.ofme.cn:8888/udp/232.0.0.151:1234
辽宁都市,http://home.ofme.cn:8888/udp/232.0.0.154:1234
辽宁经济,http://home.ofme.cn:8888/udp/232.0.0.156:1234
辽宁体育,http://home.ofme.cn:8888/udp/232.0.0.164:1234
辽宁体育,http://home.ofme.cn:8888/udp/232.0.0.216:1234
辽宁移动,http://home.ofme.cn:8888/udp/232.0.0.165:1234
辽宁公共,http://home.ofme.cn:8888/udp/232.0.0.168:1234
沈阳综合,http://home.ofme.cn:8888/udp/232.0.0.206:1234
辽宁体育,http://home.ofme.cn:8888/udp/232.0.0.216:1234
辽宁教育,http://home.ofme.cn:8888/udp/232.0.0.241:1234
广西卫视,http://home.ofme.cn:8888/udp/232.0.0.22:1234
海南卫视,http://home.ofme.cn:8888/udp/232.0.0.26:1234
江西卫视,http://home.ofme.cn:8888/udp/232.0.0.31:1234
河北卫视,http://home.ofme.cn:8888/udp/232.0.0.32:1234
河南卫视,http://home.ofme.cn:8888/udp/232.0.0.33:1234
云南卫视,http://home.ofme.cn:8888/udp/232.0.0.37:1234
黑龙江卫视,http://home.ofme.cn:8888/udp/232.0.0.95:1234
深圳卫视,http://home.ofme.cn:8888/udp/232.0.0.110:1234
湖南卫视,http://home.ofme.cn:8888/udp/232.0.0.115:1234
江苏卫视,http://home.ofme.cn:8888/udp/232.0.0.116:1234
北京卫视,http://home.ofme.cn:8888/udp/232.0.0.117:1234
东方卫视,http://home.ofme.cn:8888/udp/232.0.0.122:1234
浙江卫视,http://home.ofme.cn:8888/udp/232.0.0.123:1234
湖北卫视,http://home.ofme.cn:8888/udp/232.0.0.124:1234
天津卫视,http://home.ofme.cn:8888/udp/232.0.0.125:1234
广东卫视,http://home.ofme.cn:8888/udp/232.0.0.130:1234
山东卫视,http://home.ofme.cn:8888/udp/232.0.0.131:1234
安徽卫视,http://home.ofme.cn:8888/udp/232.0.0.141:1234
吉林卫视,http://home.ofme.cn:8888/udp/232.0.0.180:1234
贵州卫视,http://home.ofme.cn:8888/udp/232.0.0.181:1234
四川卫视,http://home.ofme.cn:8888/udp/232.0.0.185:1234
重庆卫视,http://home.ofme.cn:8888/udp/232.0.0.186:1234
CETV1,http://home.ofme.cn:8888/udp/232.0.0.212:1234
上海纪实,http://home.ofme.cn:8888/udp/232.0.0.132:1234
北京纪实,http://home.ofme.cn:8888/udp/232.0.0.162:1234
金鹰纪实,http://home.ofme.cn:8888/udp/232.0.0.163:1234
都市剧场,http://home.ofme.cn:8888/udp/232.0.0.149:1234
金鹰卡通,http://home.ofme.cn:8888/udp/232.0.0.90:1234
动漫秀场,http://home.ofme.cn:8888/udp/232.0.0.128:1234
金色学堂,http://home.ofme.cn:8888/udp/232.0.0.133:1234
法治天地,http://home.ofme.cn:8888/udp/232.0.0.134:1234
全纪实台,http://home.ofme.cn:8888/udp/232.0.0.108:1234
生活时尚,http://home.ofme.cn:8888/udp/232.0.0.107:1234
极速汽车,http://home.ofme.cn:8888/udp/232.0.0.121:1234
游戏风云,http://home.ofme.cn:8888/udp/232.0.0.127:1234
营口新闻综合SD,http://home.ofme.cn:8888/udp/232.0.0.214:1234
营口辽河文化生活,http://home.ofme.cn:8888/udp/232.0.0.215:1234
证券服务,http://home.ofme.cn:8888/udp/232.0.0.152:1234
大洼综合,http://home.ofme.cn:8888/udp/232.0.0.146:1234
抚顺教育,http://home.ofme.cn:8888/udp/232.0.0.145:1234
抚顺综合,http://home.ofme.cn:8888/udp/232.0.0.143:1234
盘锦新闻,http://home.ofme.cn:8888/udp/232.0.0.120:1234
